Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
mobilevitv2_200.cvnets_in1k,89.531,89.453,89.844,89.609
mvitv2_base.fb_in1k,91.641,92.188,91.25,91.693
mvitv2_large.fb_in1k,92.266,92.188,92.969,92.474
mvitv2_small.fb_in1k,91.797,91.484,91.914,91.732
mvitv2_tiny.fb_in1k,91.953,91.406,91.68,91.68
pit_b_224.in1k,92.656,92.539,92.461,92.552
pit_b_distilled_224.in1k,91.406,91.797,91.68,91.628
pit_s_224.in1k,91.289,91.602,91.875,91.589
pit_s_distilled_224.in1k,91.68,90.859,90.508,91.016
pit_ti_224.in1k,89.062,90.156,89.883,89.7
pit_ti_distilled_224.in1k,89.414,88.828,89.062,89.101
pit_xs_224.in1k,90.312,90.273,91.523,90.703
pit_xs_distilled_224.in1k,91.094,90.586,90.312,90.664
poolformer_m36.sail_in1k,90.781,89.922,89.805,90.169
poolformer_m48.sail_in1k,90.703,90.664,90.078,90.482
poolformer_s12.sail_in1k,90.117,88.516,89.18,89.271
poolformer_s24.sail_in1k,89.531,89.375,89.297,89.401
poolformer_s36.sail_in1k,89.766,90.508,90.273,90.182
poolformerv2_m36.sail_in1k,91.289,91.328,90.664,91.094
poolformerv2_s12.sail_in1k,90.0,90.312,89.922,90.078
poolformerv2_s24.sail_in1k,90.234,90.234,90.234,90.234
poolformerv2_s36.sail_in1k,90.469,90.0,90.156,90.208
pvt_v2_b0.in1k,90.547,90.586,92.109,91.081
pvt_v2_b1.in1k,91.289,91.758,92.109,91.719
pvt_v2_b2.in1k,91.992,92.07,91.797,91.953
pvt_v2_b2_li.in1k,91.602,92.031,91.719,91.784
pvt_v2_b3.in1k,91.602,92.305,92.148,92.018
pvt_v2_b4.in1k,91.641,91.016,91.953,91.537
pvt_v2_b5.in1k,91.094,91.68,91.016,91.263
regnetx_002.pycls_in1k,86.367,85.664,86.016,86.016
regnetx_004.pycls_in1k,85.547,86.016,85.859,85.807
regnetx_004_tv.tv2_in1k,86.602,86.016,86.523,86.38
regnetx_008.pycls_in1k,87.031,87.031,87.344,87.135
regnetx_008.tv2_in1k,86.953,87.734,87.773,87.487
regnetx_016.pycls_in1k,88.359,87.383,87.969,87.904
regnetx_016.tv2_in1k,88.711,88.398,89.023,88.711
regnetx_032.pycls_in1k,89.141,88.711,88.516,88.789
regnety_002.pycls_in1k,84.648,85.508,84.648,84.935
regnety_004.pycls_in1k,86.797,86.445,86.562,86.601
