Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
mnasnet_small.lamb_in1k,76.25,76.094,75.781,76.042
mobilenetv2_050.lamb_in1k,76.367,76.172,75.82,76.12
mobilenetv2_100.ra_in1k,75.859,75.312,75.625,75.599
mobilenetv2_110d.ra_in1k,76.172,77.266,75.625,76.354
mobilenetv2_120d.ra_in1k,77.539,77.578,77.891,77.669
mobilenetv2_140.ra_in1k,77.93,78.242,77.188,77.787
mobilenetv3_large_100.miil_in21k_ft_in1k,77.734,77.617,77.734,77.695
mobilenetv3_large_100.ra_in1k,78.281,79.258,78.516,78.685
mobilenetv3_rw.rmsp_in1k,80.234,80.039,79.648,79.974
mobilenetv3_small_100.lamb_in1k,76.836,76.914,77.539,77.096
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,77.422,76.836,76.953,77.07
mobilenetv4_conv_small_050.e3000_r224_in1k,72.812,72.773,73.047,72.877
mobileone_s2.apple_in1k,80.469,81.406,80.898,80.924
mobileone_s4.apple_in1k,77.969,78.438,78.125,78.177
mobilevit_xs.cvnets_in1k,78.32,77.891,77.891,78.034
mobilevit_xxs.cvnets_in1k,78.398,78.281,77.461,78.047
mobilevitv2_050.cvnets_in1k,74.336,73.984,74.805,74.375
mobilevitv2_200.cvnets_in1k,76.953,77.461,76.992,77.135
mvitv2_base.fb_in1k,79.453,78.359,78.633,78.815
mvitv2_large.fb_in1k,80.508,80.0,80.703,80.404
mvitv2_small.fb_in1k,77.383,77.812,78.594,77.93
mvitv2_tiny.fb_in1k,79.414,80.469,79.57,79.818
pit_b_224.in1k,79.883,79.219,80.352,79.818
pit_b_distilled_224.in1k,81.992,81.953,82.148,82.031
pit_s_224.in1k,79.297,79.141,79.297,79.245
pit_s_distilled_224.in1k,79.688,79.141,79.375,79.401
pit_ti_224.in1k,75.469,76.484,76.406,76.12
pit_ti_distilled_224.in1k,76.875,76.367,76.406,76.549
pit_xs_224.in1k,77.305,77.383,77.578,77.422
pit_xs_distilled_224.in1k,80.469,79.648,79.883,80.0
poolformer_m36.sail_in1k,74.023,74.727,74.883,74.544
poolformer_m48.sail_in1k,76.016,76.562,76.328,76.302
poolformer_s12.sail_in1k,77.148,77.227,76.758,77.044
poolformer_s24.sail_in1k,76.68,75.703,76.055,76.146
poolformer_s36.sail_in1k,75.547,76.016,75.664,75.742
poolformerv2_m36.sail_in1k,80.938,80.547,80.312,80.599
poolformerv2_s12.sail_in1k,75.352,75.156,75.156,75.221
poolformerv2_s24.sail_in1k,77.422,76.953,77.578,77.318
poolformerv2_s36.sail_in1k,78.086,77.305,77.617,77.669
pvt_v2_b0.in1k,76.484,76.133,76.133,76.25
pvt_v2_b1.in1k,78.945,78.906,79.414,79.088
pvt_v2_b2.in1k,76.953,77.422,76.953,77.109
pvt_v2_b2_li.in1k,77.031,77.031,77.305,77.122
pvt_v2_b3.in1k,78.32,78.555,77.734,78.203
pvt_v2_b4.in1k,77.969,77.305,77.852,77.709
pvt_v2_b5.in1k,77.031,77.188,76.406,76.875
regnetx_002.pycls_in1k,74.766,74.141,74.922,74.61
regnetx_004.pycls_in1k,74.805,76.328,74.258,75.13
regnetx_004_tv.tv2_in1k,70.273,72.148,72.695,71.705
regnetx_008.pycls_in1k,78.359,78.281,77.969,78.203
regnetx_008.tv2_in1k,76.211,76.172,75.938,76.107
regnetx_016.pycls_in1k,77.656,77.461,77.188,77.435
regnetx_016.tv2_in1k,77.227,77.539,77.617,77.461
regnetx_032.pycls_in1k,79.062,79.062,78.555,78.893
regnety_002.pycls_in1k,75.742,76.953,76.406,76.367
regnety_004.pycls_in1k,77.305,77.188,76.289,76.927
regnety_004.tv2_in1k,75.391,75.938,73.828,75.052
regnety_006.pycls_in1k,77.617,78.164,78.438,78.073
regnety_008.pycls_in1k,79.141,79.219,79.18,79.18
regnety_008_tv.tv2_in1k,77.93,77.109,77.5,77.513
regnety_016.pycls_in1k,79.922,79.844,79.453,79.74
regnety_016.tv2_in1k,75.312,75.352,75.391,75.352
regnety_032.pycls_in1k,81.172,81.094,80.82,81.029
regnety_040.ra3_in1k,78.281,79.102,78.906,78.763
regnety_080.ra3_in1k,81.211,81.523,81.523,81.419
regnety_120.sw_in12k_ft_in1k,81.758,81.914,81.719,81.797
regnety_160.lion_in12k_ft_in1k,82.148,81.992,81.836,81.992
regnety_320.swag_ft_in1k,84.727,84.492,84.961,84.727
regnety_320.tv2_in1k,81.367,81.602,81.523,81.497
regnetz_d32.ra3_in1k,82.734,82.461,82.891,82.695
repghostnet_050.in1k,76.289,76.641,77.227,76.719
repghostnet_058.in1k,78.75,78.047,78.828,78.542
repvgg_a0.rvgg_in1k,79.102,80.156,79.883,79.714
repvgg_a1.rvgg_in1k,80.742,80.078,79.531,80.117
repvgg_a2.rvgg_in1k,79.023,79.844,79.297,79.388
repvgg_b0.rvgg_in1k,80.742,80.43,80.234,80.469
repvgg_b1.rvgg_in1k,80.195,80.547,80.352,80.365
repvgg_b1g4.rvgg_in1k,83.242,83.477,83.398,83.372
repvgg_b2.rvgg_in1k,81.367,80.977,80.312,80.885
repvgg_b2g4.rvgg_in1k,79.414,79.922,79.688,79.675
repvgg_b3g4.rvgg_in1k,81.641,81.875,81.25,81.589
repvgg_d2se.rvgg_in1k,81.836,81.758,82.07,81.888
repvit_m1_0.dist_450e_in1k,75.195,76.016,75.781,75.664
repvit_m1_1.dist_450e_in1k,79.258,78.125,79.062,78.815
repvit_m2_3.dist_450e_in1k,77.539,77.5,77.383,77.474
res2net50_14w_8s.in1k,75.078,75.273,74.18,74.844
res2net50_26w_4s.in1k,74.062,73.242,73.984,73.763
res2net50_26w_6s.in1k,74.062,74.062,74.023,74.049
res2net50_26w_8s.in1k,75.938,76.797,76.25,76.328
res2net50_48w_2s.in1k,76.797,76.602,76.758,76.719
res2net50d.in1k,75.039,74.297,74.844,74.727
resmlp_12_224.fb_distilled_in1k,78.594,78.711,77.852,78.386
resmlp_12_224.fb_in1k,76.602,77.227,76.445,76.758
resmlp_24_224.fb_in1k,77.031,77.188,77.383,77.201
resmlp_36_224.fb_in1k,77.617,77.93,79.258,78.268
resnest101e.in1k,80.664,80.156,79.883,80.234
resnest50d.in1k,82.578,82.07,82.461,82.37
resnest50d_1s4x24d.in1k,81.719,81.914,81.68,81.771
resnest50d_4s2x40d.in1k,79.727,80.352,80.703,80.261
resnet101.a1_in1k,79.18,78.789,78.711,78.893
resnet101.a2_in1k,79.141,78.008,78.477,78.542
resnet101.a3_in1k,80.234,80.352,80.312,80.299
resnet10t.c3_in1k,75.938,76.133,75.977,76.016
resnet14t.c3_in1k,81.367,81.289,80.859,81.172
resnet152.a1_in1k,78.086,78.398,78.711,78.398
resnet152.a3_in1k,80.117,80.82,80.781,80.573
resnet18.a1_in1k,73.359,73.164,74.297,73.607
resnet18.a3_in1k,75.352,75.039,74.336,74.909
resnet18.fb_ssl_yfcc100m_ft_in1k,77.695,77.852,78.398,77.982
resnet18.fb_swsl_ig1b_ft_in1k,78.086,78.281,77.227,77.865
resnet18.gluon_in1k,75.977,75.898,76.836,76.237
resnet18.tv_in1k,75.195,74.805,74.297,74.766
resnet200d.ra2_in1k,82.031,81.992,82.109,82.044
resnet34.a1_in1k,73.789,73.906,73.867,73.854
resnet34.a3_in1k,75.039,74.336,74.609,74.661
resnet34.gluon_in1k,74.922,74.727,74.414,74.688
resnet34d.ra2_in1k,72.148,72.461,71.992,72.2
resnet50.a1_in1k,78.203,77.891,77.93,78.008
resnet50.a1h_in1k,77.93,79.102,79.023,78.685
resnet50.a3_in1k,78.828,80.234,79.922,79.661
resnet50.am_in1k,79.805,79.883,79.57,79.753
resnet50.ram_in1k,77.383,77.578,77.109,77.357
resnet50.tv_in1k,79.844,79.648,79.453,79.648
resnet50d.a3_in1k,79.961,80.117,79.531,79.87
resnet50d.ra2_in1k,80.117,79.531,79.57,79.739
resnetrs50.tf_in1k,81.172,81.133,81.016,81.107
resnext101_32x8d.tv2_in1k,77.031,76.445,77.148,76.875
resnext50_32x4d.a1_in1k,78.008,77.93,77.422,77.787
resnext50_32x4d.tv_in1k,78.398,78.086,78.125,78.203
rexnet_100.nav_in1k,77.812,77.227,78.047,77.695
rexnet_130.nav_in1k,80.508,80.508,80.078,80.365
rexnet_150.nav_in1k,80.391,80.742,81.211,80.781
rexnet_200.nav_in1k,81.562,80.703,80.938,81.068
rexnet_300.nav_in1k,81.758,82.188,82.031,81.992
selecsls60.in1k,76.094,76.484,75.352,75.977
semnasnet_075.rmsp_in1k,78.125,77.266,77.305,77.565
seresnet50.a3_in1k,79.961,79.297,79.922,79.727
seresnextaa101d_32x8d.sw_in12k_ft_in1k,80.586,80.234,80.078,80.299
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,82.07,81.406,81.523,81.666
shvit_s3.in1k,73.906,73.125,74.062,73.698
shvit_s4.in1k,76.367,76.562,76.289,76.406
skresnet18.ra_in1k,76.797,76.68,76.289,76.589
skresnet34.ra_in1k,77.031,75.547,75.82,76.133
spnasnet_100.rmsp_in1k,78.203,78.594,78.555,78.451
swin_base_patch4_window7_224.ms_in1k,79.453,78.906,79.18,79.18
swin_base_patch4_window7_224.ms_in22k_ft_in1k,82.188,82.461,82.578,82.409
swin_large_patch4_window12_384.ms_in22k_ft_in1k,84.062,84.18,83.555,83.932
swin_s3_base_224.ms_in1k,77.969,79.531,78.555,78.685
