model,imagenet_top1,lp_avg,ft_avg,delta_ft_minus_lp,img_size,param_count
deit3_huge_patch14_224.fb_in1k,85.204,53.945,57.982,4.036999999999999,224,632.13
deit3_large_patch16_224.fb_in1k,84.772,57.213,59.792,2.5790000000000006,224,304.37
deit3_medium_patch16_224.fb_in1k,83.09,53.802,58.62,4.817999999999998,224,38.85
deit3_medium_patch16_224.fb_in22k_ft_in1k,84.55,55.859,57.617,1.7579999999999956,224,38.85
deit3_small_patch16_224.fb_in1k,81.382,55.885,58.49,2.605000000000004,224,22.06
deit3_small_patch16_224.fb_in22k_ft_in1k,83.082,55.599,58.138,2.5390000000000015,224,22.06
deit_base_distilled_patch16_224.fb_in1k,83.384,54.726,56.511,1.7850000000000037,224,87.34
deit_base_patch16_224.fb_in1k,81.98,54.31,58.359,4.0489999999999995,224,86.57
deit_base_patch16_384.fb_in1k,83.108,55.794,57.474,1.6799999999999997,384,86.86
deit_small_distilled_patch16_224.fb_in1k,81.204,53.425,57.24,3.815000000000005,224,22.44
deit_small_patch16_224.fb_in1k,79.856,53.45,55.261,1.811,224,22.05
deit_tiny_distilled_patch16_224.fb_in1k,74.538,54.102,56.38,2.278000000000006,224,5.91
deit_tiny_patch16_224.fb_in1k,72.19,52.851,56.614,3.762999999999998,224,5.72
densenet121.ra_in1k,75.574,54.271,57.643,3.372,224,7.98
densenet121.tv_in1k,74.75,54.336,59.18,4.844000000000001,224,7.98
densenet161.tv_in1k,77.384,52.07,60.625,8.555,224,28.68
densenet169.tv_in1k,75.922,53.62,60.13,6.510000000000005,224,14.15
densenet201.tv_in1k,77.284,54.154,59.024,4.869999999999997,224,20.01
densenetblur121d.ra_in1k,76.574,53.633,55.899,2.2659999999999982,224,8.00
dla102.in1k,78.016,52.891,56.758,3.8670000000000044,224,33.27
dla169.in1k,78.702,53.893,59.896,6.003,224,53.39
dla34.in1k,74.632,53.815,55.495,1.6799999999999997,224,15.74
dla46_c.in1k,64.88,54.466,54.974,0.5079999999999956,224,1.30
dla46x_c.in1k,66.008,53.138,54.531,1.3930000000000007,224,1.07
dla60.in1k,77.036,54.271,57.109,2.838000000000001,224,22.04
dla60x_c.in1k,67.928,54.375,53.776,-0.5989999999999966,224,1.32
dpn107.mx_in1k,80.166,55.964,62.813,6.849000000000004,224,86.92
dpn131.mx_in1k,79.836,55.143,62.266,7.1229999999999976,224,79.25
dpn68.mx_in1k,76.304,54.049,60.768,6.719000000000001,224,12.61
dpn68b.mx_in1k,77.494,51.55,60.013,8.463000000000001,224,12.61
dpn92.mx_in1k,80.032,55.195,61.146,5.9510000000000005,224,37.67
dpn98.mx_in1k,79.664,54.701,61.172,6.4709999999999965,224,61.57
eca_nfnet_l0.ra2_in1k,81.762,54.492,56.185,1.693000000000005,224,24.14
eca_nfnet_l1.ra2_in1k,83.264,53.672,57.461,3.7890000000000015,256,41.41
ecaresnet50t.a2_in1k,80.884,53.307,53.555,0.24799999999999756,224,25.57
edgenext_xx_small.in1k,71.132,52.344,54.739,2.394999999999996,256,1.33
efficientformer_l1.snap_dist_in1k,80.502,52.526,54.766,2.239999999999995,224,12.29
efficientformer_l3.snap_dist_in1k,82.562,55.937,54.961,-0.9759999999999991,224,31.41
efficientformer_l7.snap_dist_in1k,83.396,55.195,56.536,1.341000000000001,224,82.23
efficientformerv2_l.snap_dist_in1k,83.642,52.995,54.414,1.419000000000004,224,26.32
efficientformerv2_s0.snap_dist_in1k,76.102,55.651,54.388,-1.2630000000000052,224,3.60
efficientformerv2_s1.snap_dist_in1k,79.684,51.706,54.284,2.577999999999996,224,6.19
efficientformerv2_s2.snap_dist_in1k,82.156,51.211,55.026,3.815000000000005,224,12.71
efficientnet_b0.ra_in1k,77.698,54.87,54.557,-0.3129999999999953,224,5.29
efficientnet_b1.ft_in1k,77.592,55.208,53.06,-2.147999999999996,224,7.79
efficientnet_b1.ra4_e3600_r240_in1k,80.404,53.972,53.594,-0.3780000000000001,240,7.79
efficientnet_b2.ra_in1k,79.324,56.823,51.641,-5.182000000000002,256,9.11
efficientnet_b3.ra2_in1k,81.472,55.898,54.089,-1.8090000000000046,288,12.23
efficientnet_b4.ra2_in1k,82.658,54.909,51.836,-3.0730000000000004,320,19.34
efficientnet_es.ra_in1k,78.1,54.687,53.151,-1.5359999999999943,224,5.44
efficientnet_es_pruned.in1k,75.01,54.388,53.581,-0.806999999999995,224,5.44
efficientnet_lite0.ra_in1k,75.488,53.698,54.688,0.990000000000002,224,4.65
efficientvit_b2.r256_in1k,82.712,54.037,56.979,2.942,256,24.33
efficientvit_b2.r288_in1k,83.078,53.398,56.471,3.0729999999999933,288,24.33
efficientvit_b3.r256_in1k,83.782,54.258,55.859,1.600999999999999,256,48.65
efficientvit_m1.r224_in1k,68.34,53.594,53.372,-0.2220000000000013,224,2.98
eva02_base_patch14_448.mim_in22k_ft_in1k,88.262,57.175,60.26,3.085000000000001,448,87.12
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,88.678,59.297,67.279,7.981999999999999,448,87.12
eva02_large_patch14_448.mim_in22k_ft_in1k,89.634,58.411,55.586,-2.825000000000003,448,305.08
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,89.956,58.425,65.612,7.186999999999998,448,305.08
eva02_large_patch14_448.mim_m38m_ft_in1k,89.55,58.555,60.443,1.8879999999999981,448,305.08
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,90.056,59.271,66.484,7.212999999999994,448,305.08
eva02_small_patch14_336.mim_in22k_ft_in1k,85.77,56.836,63.672,6.8359999999999985,336,22.13
eva_large_patch14_196.in22k_ft_in1k,87.952,56.706,62.643,5.936999999999998,196,304.14
eva_large_patch14_196.in22k_ft_in22k_in1k,88.59,57.409,62.031,4.622,196,304.14
eva_large_patch14_336.in22k_ft_in1k,88.68,57.292,69.076,11.783999999999992,336,304.53
eva_large_patch14_336.in22k_ft_in22k_in1k,89.238,58.802,64.375,5.573,336,304.53
fasternet_t2.in1k,78.738,55.364,59.141,3.777000000000001,224,14.98
fastvit_sa36.apple_dist_in1k,84.028,54.609,54.505,-0.1039999999999992,256,31.53
fastvit_t8.apple_dist_in1k,77.17,53.685,55.703,2.0180000000000007,256,4.03
focalnet_base_lrf.ms_in1k,83.828,53.151,57.917,4.765999999999998,224,88.75
focalnet_base_srf.ms_in1k,83.808,54.479,57.656,3.1769999999999996,224,88.15
focalnet_small_lrf.ms_in1k,83.508,54.088,58.737,4.649000000000001,224,50.34
focalnet_small_srf.ms_in1k,83.428,52.969,59.128,6.158999999999999,224,49.89
focalnet_tiny_lrf.ms_in1k,82.174,55.117,57.37,2.253,224,28.65
focalnet_tiny_srf.ms_in1k,82.146,55.182,57.839,2.6569999999999965,224,28.43
ghostnet_100.in1k,73.958,56.823,54.752,-2.070999999999998,224,5.18
ghostnetv2_100.in1k,75.186,53.268,56.641,3.3729999999999976,224,6.16
ghostnetv2_130.in1k,76.746,54.206,56.12,1.9139999999999944,224,8.96
hardcorenas_b.miil_green_in1k,76.55,53.659,53.959,0.30000000000000426,224,5.18
hardcorenas_f.miil_green_in1k,78.1,54.466,53.398,-1.0679999999999978,224,8.20
hgnet_small.ssld_in1k,83.818,54.466,58.997,4.530999999999999,224,24.36
hgnetv2_b0.ssld_stage1_in22k_in1k,76.868,53.685,56.471,2.7859999999999943,224,6.00
hrnet_w18.ms_aug_in1k,78.11,56.589,58.138,1.5489999999999995,224,21.30
hrnet_w18.ms_in1k,76.77,55.898,58.438,2.539999999999999,224,21.30
hrnet_w18_small.ms_in1k,72.34,56.432,58.334,1.902000000000001,224,13.19
hrnet_w18_small_v2.ms_in1k,75.094,55.065,58.164,3.0990000000000038,224,15.60
