model,family,input_size,lp_avg,ft_avg,delta,lp_run_std,ft_run_std,lp_run_range,ft_run_range
deit_base_patch16_224.fb_in1k,deit,224,54.31,58.359,4.0489999999999995,0.15048587973627536,2.6474901741502688,0.3510000000000062,6.484999999999999
deit_base_patch16_384.fb_in1k,deit,384,55.794,57.474,1.6799999999999997,0.6721370561293442,1.5729675422235803,1.600999999999999,3.7890000000000015
deit_small_distilled_patch16_224.fb_in1k,deit,224,53.425,57.24,3.815000000000005,1.0058102317148199,0.7191858050755866,2.421999999999997,1.7579999999999956
deit_small_patch16_224.fb_in1k,deit,224,53.45,55.261,1.811,1.0551001005697167,1.1330702635857235,2.4610000000000056,2.6169999999999973
deit_tiny_distilled_patch16_224.fb_in1k,deit,224,54.102,56.38,2.278000000000006,0.6908571165990514,1.522233957781201,1.6799999999999997,3.4379999999999953
deit_tiny_patch16_224.fb_in1k,deit,224,52.851,56.614,3.762999999999998,1.2233626699479694,0.3722520054419537,2.969000000000001,0.8980000000000032
densenet121.ra_in1k,densenet121.ra,unknown,54.271,57.643,3.372,1.6741357969611268,0.43548210831980994,4.024000000000001,1.0549999999999997
densenet121.tv_in1k,densenet121.tv,unknown,54.336,59.18,4.844000000000001,0.37622422392327015,1.5481234518675266,0.8990000000000009,3.672000000000004
densenet161.tv_in1k,densenet161.tv,unknown,52.07,60.625,8.555,0.3188420019731119,0.9395775646533947,0.7809999999999988,2.031000000000006
densenet169.tv_in1k,densenet169.tv,unknown,53.62,60.13,6.510000000000005,0.4872172684405444,0.8258377564630967,1.171999999999997,1.9140000000000015
densenet201.tv_in1k,densenet201.tv,unknown,54.154,59.024,4.869999999999997,0.48408539191620775,0.5133331168830714,1.1720000000000041,1.25
densenetblur121d.ra_in1k,densenetblur121d.ra,unknown,53.633,55.899,2.2659999999999982,0.3680498154688639,0.3075519829593386,0.8989999999999938,0.7029999999999959
dla102.in1k,dla102.in1k,unknown,52.891,56.758,3.8670000000000044,0.5269541409521965,1.0025261426350258,1.2890000000000015,2.421999999999997
dla169.in1k,dla169.in1k,unknown,53.893,59.896,6.003,0.6758081581829765,0.47346875996908716,1.6400000000000006,1.1329999999999956
dla34.in1k,dla34.in1k,unknown,53.815,55.495,1.6799999999999997,0.10236210236215411,0.9410572069043766,0.23400000000000176,2.3049999999999997
dla46_c.in1k,dla46,unknown,54.466,54.974,0.5079999999999956,0.52823542731122,0.736099178100342,1.2890000000000015,1.6799999999999997
dla46x_c.in1k,dla46x,unknown,53.138,54.531,1.3930000000000007,0.759047356156971,1.4641667330677277,1.8359999999999985,3.5549999999999997
dla60.in1k,dla60.in1k,unknown,54.271,57.109,2.838000000000001,0.3698819631540132,0.6592553037750679,0.8990000000000009,1.5630000000000024
dla60x_c.in1k,dla60x,unknown,54.375,53.776,-0.5989999999999966,1.7245418715318765,1.8992347581767421,4.024000000000001,4.609000000000002
dpn107.mx_in1k,dpn107.mx,unknown,55.964,62.813,6.849000000000004,0.5350497380825671,1.0281084032770496,1.1720000000000041,2.3049999999999926
dpn131.mx_in1k,dpn131.mx,unknown,55.143,62.266,7.1229999999999976,0.49652056016510127,1.058278266283916,1.2109999999999985,2.578000000000003
dpn68.mx_in1k,dpn68.mx,unknown,54.049,60.768,6.719000000000001,0.685915608673707,0.4036717588448449,1.6799999999999997,0.9370000000000047
dpn68b.mx_in1k,dpn68b.mx,unknown,51.55,60.013,8.463000000000001,0.257824660487618,0.46699964311192765,0.625,1.1330000000000027
dpn92.mx_in1k,dpn92.mx,unknown,55.195,61.146,5.9510000000000005,1.9115027828619258,1.2114993465399244,4.219000000000001,2.695999999999998
dpn98.mx_in1k,dpn98.mx,unknown,54.701,61.172,6.4709999999999965,0.3960642484356412,0.5748570836883453,0.8590000000000018,1.3670000000000044
