Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
tinynet_c.in1k,53.789,52.852,56.055,54.232
tresnet_l.miil_in1k,97.695,97.109,96.797,97.2
tresnet_m.miil_in1k,96.719,95.898,96.797,96.471
tresnet_m.miil_in21k_ft_in1k,95.273,81.914,94.648,90.612
tresnet_v2_l.miil_in21k_ft_in1k,97.109,97.031,96.953,97.031
tresnet_xl.miil_in1k,98.125,97.773,97.852,97.917
twins_pcpvt_base.in1k,92.539,95.0,91.328,92.956
twins_pcpvt_large.in1k,79.961,98.086,97.5,91.849
twins_pcpvt_small.in1k,85.625,71.875,93.633,83.711
twins_svt_base.in1k,67.07,64.023,96.25,75.781
twins_svt_large.in1k,54.961,54.141,74.297,61.133
twins_svt_small.in1k,93.594,97.461,97.422,96.159
vgg11.tv_in1k,99.57,99.57,99.531,99.557
vgg11_bn.tv_in1k,99.219,99.414,99.18,99.271
vgg13.tv_in1k,99.375,99.414,99.531,99.44
vgg13_bn.tv_in1k,98.945,99.062,99.219,99.075
vgg16.tv_in1k,99.609,99.531,99.531,99.557
vgg16_bn.tv_in1k,99.648,99.609,99.57,99.609
vgg19.tv_in1k,99.727,99.766,99.492,99.662
vgg19_bn.tv_in1k,99.648,99.648,99.648,99.648
visformer_small.in1k,98.984,94.102,98.359,97.148
visformer_tiny.in1k,98.711,96.719,98.164,97.865
vit_base_mci_224.apple_mclip2_dfndr2b,98.945,99.219,94.531,97.565
vit_base_patch14_dinov2.lvd142m,96.641,95.352,98.125,96.706
vit_base_patch14_reg4_dinov2.lvd142m,97.695,92.695,98.516,96.302
vit_base_patch16_224.augreg2_in21k_ft_in1k,98.867,98.281,99.141,98.763
vit_base_patch16_224.augreg_in1k,98.32,98.32,98.477,98.372
vit_base_patch16_224.augreg_in21k_ft_in1k,95.586,98.945,98.008,97.513
vit_base_patch16_224.dino,60.859,78.164,98.594,79.206
vit_base_patch16_224.mae,98.867,98.672,98.945,98.828
vit_base_patch16_224.orig_in21k_ft_in1k,98.125,62.148,97.07,85.781
