Model Name,Acc 1,Acc 2,Acc 3,Avg Acc
regnety_016.pycls_in1k,49.336,47.773,53.086,50.065
regnety_016.tv2_in1k,51.875,52.539,52.422,52.279
regnety_032.pycls_in1k,52.812,51.172,51.25,51.745
regnety_040.ra3_in1k,52.031,51.211,53.281,52.174
regnety_080.ra3_in1k,51.875,50.391,50.391,50.886
regnety_120.sw_in12k_ft_in1k,52.773,54.688,53.516,53.659
regnety_160.lion_in12k_ft_in1k,54.414,54.492,54.531,54.479
regnety_320.swag_ft_in1k,53.086,53.633,52.695,53.138
regnety_320.tv2_in1k,52.422,51.797,52.188,52.136
regnetz_d32.ra3_in1k,50.039,50.664,51.562,50.755
repghostnet_050.in1k,48.906,51.094,49.219,49.74
repghostnet_058.in1k,47.773,47.5,49.922,48.398
repvgg_a0.rvgg_in1k,49.805,49.688,50.938,50.144
repvgg_a1.rvgg_in1k,53.516,52.891,53.516,53.308
repvgg_a2.rvgg_in1k,54.961,54.844,54.258,54.688
repvgg_b0.rvgg_in1k,54.18,53.359,54.18,53.906
repvgg_b1.rvgg_in1k,55.391,54.727,54.805,54.974
repvgg_b1g4.rvgg_in1k,55.078,55.391,55.039,55.169
repvgg_b2.rvgg_in1k,55.273,54.766,54.102,54.714
repvgg_b2g4.rvgg_in1k,56.055,55.391,55.273,55.573
repvgg_b3g4.rvgg_in1k,55.82,55.312,55.117,55.416
repvgg_d2se.rvgg_in1k,55.0,54.18,56.25,55.143
repvit_m1_0.dist_450e_in1k,49.688,49.062,51.094,49.948
repvit_m1_1.dist_450e_in1k,49.922,52.422,50.156,50.833
repvit_m2_3.dist_450e_in1k,51.133,51.328,49.297,50.586
res2net50_14w_8s.in1k,51.133,51.484,51.133,51.25
res2net50_26w_4s.in1k,51.68,53.086,51.719,52.162
res2net50_26w_6s.in1k,52.812,52.383,52.383,52.526
res2net50_26w_8s.in1k,52.227,53.242,53.75,53.073
res2net50_48w_2s.in1k,52.227,52.578,52.109,52.305
res2net50d.in1k,50.156,51.562,50.547,50.755
resmlp_12_224.fb_distilled_in1k,54.961,53.359,51.875,53.398
resmlp_12_224.fb_in1k,52.5,52.773,52.773,52.682
resmlp_24_224.fb_in1k,53.555,51.055,51.055,51.888
resmlp_36_224.fb_in1k,51.68,52.031,52.891,52.201
