task_key,task,model,family,lp_avg,ft_avg,delta_ft_minus_lp,lp_run_range,ft_run_range,lp_run_std,ft_run_std,imagenet_top1,imagenet_top5,param_count_m,img_size
vpt1_v18,VPT1 v18,coat_mini.in1k,coat,53.386,56.888,3.5019999999999953,2.0700000000000003,2.1480000000000032,0.8629813954477177,0.9547575608498745,81.32,95.388,10.34,224
vpt1_v18,VPT1 v18,coat_small.in1k,coat,54.896,57.695,2.7989999999999995,1.2899999999999991,2.7340000000000018,0.5903729518043855,1.1378369342260302,82.378,96.214,21.69,224
vpt1_v18,VPT1 v18,coat_tiny.in1k,coat,53.633,56.159,2.5259999999999962,1.9920000000000044,1.3290000000000006,0.8680481297460171,0.6006187550259237,78.442,94.044,5.5,224
vpt1_v18,VPT1 v18,coatnet_0_rw_224.sw_in1k,coatnet,54.57,56.823,2.253,0.6640000000000015,1.600999999999999,0.30423711512933865,0.6613808786672519,82.396,95.844,27.44,224
vpt1_v18,VPT1 v18,coatnet_1_rw_224.sw_in1k,coatnet,57.005,56.302,-0.703000000000003,1.328000000000003,4.453000000000003,0.5573277511682184,1.8202641444459537,83.62,96.382,41.72,224
vpt1_v18,VPT1 v18,coatnet_bn_0_rw_224.sw_in1k,coatnet,54.362,55.99,1.6280000000000001,1.328000000000003,2.969000000000001,0.5926872887300879,1.235473548437558,82.394,96.194,27.44,224
vpt1_v18,VPT1 v18,coatnet_nano_rw_224.sw_in1k,coatnet,54.089,55.794,1.7049999999999983,3.6329999999999956,1.446000000000005,1.651822091577121,0.5938492139330414,81.704,95.65,15.14,224
vpt1_v18,VPT1 v18,coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,coatnet,57.305,56.576,-0.7289999999999992,1.4059999999999988,2.5390000000000015,0.5845895046003545,1.0618142754528954,84.94,96.968,41.72,224
vpt1_v18,VPT1 v18,coatnet_rmlp_1_rw_224.sw_in1k,coatnet,54.714,57.253,2.5390000000000015,1.7579999999999956,1.0940000000000012,0.7722906764223465,0.48316272851102965,83.35,96.452,41.69,224
vpt1_v18,VPT1 v18,coatnet_rmlp_2_rw_224.sw_in1k,coatnet,56.172,52.826,-3.3459999999999965,0.546999999999997,1.953000000000003,0.2491750834698809,0.8007148195345358,84.608,96.744,73.88,224
vpt1_v18,VPT1 v18,coatnet_rmlp_nano_rw_224.sw_in1k,coatnet,53.424,54.609,1.1850000000000023,2.382000000000005,0.625,0.9735441552504057,0.25515529040610196,82.064,95.874,15.15,224
vpt1_v18,VPT1 v18,convformer_s18.sail_in1k_384,convformer,56.628,61.042,4.4140000000000015,2.774000000000001,4.218999999999994,1.1343207463304004,1.8732845189369607,84.392,97.11,26.77,384
vpt1_v18,VPT1 v18,convit_base.fb_in1k,convit,55.417,58.932,3.5150000000000006,0.6640000000000015,0.19500000000000028,0.27490644873403014,0.08013738203859666,82.296,95.936,86.54,224
vpt1_v18,VPT1 v18,convit_small.fb_in1k,convit,53.451,58.242,4.790999999999997,1.6010000000000062,2.304000000000002,0.7132135413433761,1.077041317684703,81.412,95.74,27.78,224
vpt1_v18,VPT1 v18,convit_tiny.fb_in1k,convit,53.776,53.125,-0.6510000000000034,2.2650000000000006,1.3669999999999973,1.0586585851916581,0.5641743229416464,73.14,91.704,5.71,224
vpt1_v18,VPT1 v18,convmixer_1536_20.in1k,convmixer,55.417,54.18,-1.2370000000000019,0.5080000000000027,0.4299999999999997,0.21237126819689198,0.19416545063996854,81.382,95.618,51.63,224
vpt1_v18,VPT1 v18,convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384,convnext,59.505,63.216,3.7109999999999985,2.344000000000001,14.102000000000004,1.025483734092789,5.988355719412653,87.144,98.228,88.59,384
vpt1_v18,VPT1 v18,convnext_base.fb_in22k_ft_in1k,convnext,55.338,57.747,2.408999999999999,0.9760000000000062,0.7809999999999988,0.4111385276143442,0.3193580366227775,85.814,97.856,88.59,224
vpt1_v18,VPT1 v18,convnext_base.fb_in22k_ft_in1k_384,convnext,57.252,59.713,2.4609999999999985,1.3670000000000044,5.859000000000002,0.6037197657486112,2.492194526026321,86.826,98.244,88.59,384
